TM1637 Based 7 Segment Display - Char Map
-----------------------------------------

      A
     ---
  F |   | B   *
     -G-      H (on 2nd segment)
  E |   | C   *
     ---
      D

HGFE DCBA

# Not all letters can be displayed.
0111 0111	0x77	"A"
0111 1100	0x7C	"b"
0011 1001	0x39	"C"
0101 1110	0x5E	"d"
0111 1001	0x79	"E"
0111 0001	0x71	"F"
0110 1111	0x6F	"g"
0111 0110	0x76	"H"
0001 1110	0x1E	"J"
0011 1000	0x38	"L"
0101 1100	0x5C	"o"
0111 0011	0x73	"P"
0110 0111	0x67	"q"
0101 0000	0x50	"r"
0110 1101	0x6D	"S"
0011 1110	0x3E	"U"
0110 1110	0x6E	"y"

# Numbers
0011 1111	0x3F	"0"
0000 0110	0x06	"1"
0101 1011	0x5B	"2"
0100 1111	0x4F	"3"
0110 0110	0x66	"4"
0110 1101	0x6D	"5"
0111 1101	0x7D	"6"
0000 0111	0x07	"7"
0111 1111	0x7F	"8"
0110 1111	0x6F	"9"
